Setor;Nome;Ticker;Preço de Fechamento;Retorno Cota;DY Corrente;Liquidez Diária (MM);Desconto;Valor de Mercado (MM);Valor de Mercado/m²
Híbrido Tijolo;PÁTRIA RENDA URBANA RESP LIMITADA FII;HGRU11; R$ 128,47 ;-0,02%;8,87%; R$ 6,01 ;-0,31%;2.985,39;5.415,93
Híbrido Tijolo;BTG PACTUAL RENDA URBANA;HSRE11; R$ 83,85 ;0,02%;12,16%; R$ 0,92 ;-3,39%;746,16;6.864,76
Híbrido Tijolo;TRX REAL ESTATE;TRXF11; R$ 91,49 ;0,95%;12,20%; R$ 22,23 ;-7,39%;5.711,78;9.873,38
Híbrido Papel;BTG PACTUAL REAL ESTATE HEDGE FUND;BTHF11; R$ 9,22 ;-1,18%;13,15%; R$ 2,91 ;-8,47%;1.897,91;
Híbrido Papel;FATOR VERITÀ MULTIESTRATÉGIA;VRTM11; R$ 6,99 ;-1,55%;15,45%; R$ 0,23 ;-26,24%;328,33;
Híbrido Papel;ITAÚ TOTAL RETURN;ITRI11; R$ 81,88 ;-0,22%;12,46%; R$ 0,94 ;-14,09%;511,75;
Híbrido Papel;KINEA HEDGE FUND;KNHF11; R$ 96,70 ;-0,33%;12,41%; R$ 3,52 ;-4,36%;1.901,43;
Híbrido Papel;MAUÁ CAPITAL REAL ESTATE;MCRE11; R$ 9,16 ;0,00%;14,41%; R$ 2,59 ;-9,93%;1.022,25;
Híbrido Papel;RBR PLUS MULTIESTRATÉGIA REAL ESTATE;RBRX11; R$ 8,37 ;-0,83%;12,90%; R$ 2,68 ;-14,92%;1.224,99;
Híbrido Papel;RBR PROPERTIES;RBRP11; R$ 51,20 ;-1,16%;9,38%; R$ 0,90 ;-36,58%;623,57;
Híbrido Papel;RBR RENDIMENTO HIGH GRADE;RBRR11; R$ 82,62 ;-0,46%;13,07%; R$ 4,86 ;-11,76%;1.346,73;
Híbrido Papel;SUNO ENERGIAS LIMPAS IS;SNEL11; R$ 8,50 ;0,00%;14,12%; R$ 4,96 ;5,69%;940,61;
Híbrido Papel;TG ATIVO REAL;TGAR11; R$ 54,78 ;-4,73%;15,77%; R$ 8,00 ;-50,07%;1.291,05;
Híbrido Papel;WHG REAL ESTATE;WHGR11; R$ 9,35 ;1,08%;12,83%; R$ 0,29 ;-5,56%;289,03;
